policy,checkpoint,trained_reward_mode,eval_reward_mode,group,terrain,seed,status,settled,settling_steps,success,m4_terminal,m4_interventions,policy_steps,initial_goal_distance_m,final_goal_distance_m,progress_m,decision_time_s,energy_abs_j,energy_bracket_time_s,mean_cost_motion,mean_cost_stability,mean_cost_energy,sum_cost_motion,sum_cost_stability,sum_cost_energy,mean_progress_rate_mps,mean_energy_power_ratio,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,mean_action_vx_norm,mean_abs_action_yaw_norm,mean_action_height_norm,mean_requested_vx_mps,mean_abs_requested_yaw_rps,mean_requested_height_m,mean_requested_clearance_m,mean_applied_vx_mps,mean_abs_applied_yaw_rps,mean_applied_height_m,mean_applied_clearance_m,beta_name,beta_motion,beta_stability,beta_energy
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27028,success,True,5,True,False,0,38,1.806892693656803,0.10558555566761126,1.7013071379891918,7.6,171.06624403322894,7.6,0.22017974704125134,0.011587935648062512,0.5151429447351058,8.366830387567552,0.4403415546263755,19.57543189993402,0.22385620236699894,1.030285889470212,0.0031941105750862325,0.028181990569102516,0.005907732993364334,0.0444018580019474,0.07613717607761684,0.012378572422006217,-0.03643005640294991,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27029,success,True,5,True,False,0,38,1.806892693656803,0.10558555566761126,1.7013071379891918,7.6,171.06624403322894,7.6,0.22017974704125134,0.011587935648062512,0.5151429447351058,8.366830387567552,0.4403415546263755,19.57543189993402,0.22385620236699894,1.030285889470212,0.0031941105750862325,0.028181990569102516,0.005907732993364334,0.0444018580019474,0.07613717607761684,0.012378572422006217,-0.03643005640294991,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27030,success,True,5,True,False,0,38,1.806892693656803,0.10558555566761126,1.7013071379891918,7.6,171.06624403322894,7.6,0.22017974704125134,0.011587935648062512,0.5151429447351058,8.366830387567552,0.4403415546263755,19.57543189993402,0.22385620236699894,1.030285889470212,0.0031941105750862325,0.028181990569102516,0.005907732993364334,0.0444018580019474,0.07613717607761684,0.012378572422006217,-0.03643005640294991,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27031,success,True,5,True,False,0,38,1.806892693656803,0.10558555566761126,1.7013071379891918,7.6,171.06624403322894,7.6,0.22017974704125134,0.011587935648062512,0.5151429447351058,8.366830387567552,0.4403415546263755,19.57543189993402,0.22385620236699894,1.030285889470212,0.0031941105750862325,0.028181990569102516,0.005907732993364334,0.0444018580019474,0.07613717607761684,0.012378572422006217,-0.03643005640294991,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27032,success,True,5,True,False,0,38,1.806892693656803,0.10558555566761126,1.7013071379891918,7.6,171.06624403322894,7.6,0.22017974704125134,0.011587935648062512,0.5151429447351058,8.366830387567552,0.4403415546263755,19.57543189993402,0.22385620236699894,1.030285889470212,0.0031941105750862325,0.028181990569102516,0.005907732993364334,0.0444018580019474,0.07613717607761684,0.012378572422006217,-0.03643005640294991,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27033,success,True,5,True,False,0,38,1.806892693656803,0.10558555566761126,1.7013071379891918,7.6,171.06624403322894,7.6,0.22017974704125134,0.011587935648062512,0.5151429447351058,8.366830387567552,0.4403415546263755,19.57543189993402,0.22385620236699894,1.030285889470212,0.0031941105750862325,0.028181990569102516,0.005907732993364334,0.0444018580019474,0.07613717607761684,0.012378572422006217,-0.03643005640294991,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27034,success,True,5,True,False,0,38,1.806892693656803,0.10558555566761126,1.7013071379891918,7.6,171.06624403322894,7.6,0.22017974704125134,0.011587935648062512,0.5151429447351058,8.366830387567552,0.4403415546263755,19.57543189993402,0.22385620236699894,1.030285889470212,0.0031941105750862325,0.028181990569102516,0.005907732993364334,0.0444018580019474,0.07613717607761684,0.012378572422006217,-0.03643005640294991,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27035,success,True,5,True,False,0,38,1.806892693656803,0.10558555566761126,1.7013071379891918,7.6,171.06624403322894,7.6,0.22017974704125134,0.011587935648062512,0.5151429447351058,8.366830387567552,0.4403415546263755,19.57543189993402,0.22385620236699894,1.030285889470212,0.0031941105750862325,0.028181990569102516,0.005907732993364334,0.0444018580019474,0.07613717607761684,0.012378572422006217,-0.03643005640294991,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27036,success,True,5,True,False,0,38,1.806892693656803,0.10558555566761126,1.7013071379891918,7.6,171.06624403322894,7.6,0.22017974704125134,0.011587935648062512,0.5151429447351058,8.366830387567552,0.4403415546263755,19.57543189993402,0.22385620236699894,1.030285889470212,0.0031941105750862325,0.028181990569102516,0.005907732993364334,0.0444018580019474,0.07613717607761684,0.012378572422006217,-0.03643005640294991,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,0.2152274352155234,0.004951428968802487,0.297814196615823,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27027,success,True,5,True,False,0,38,1.8082846522923273,0.1339897724016974,1.6742948798906299,7.6,185.14915166500603,7.6,0.22462255264956751,0.7274257311402266,0.5575517235614941,8.535657000683566,27.64217778332861,21.186965495336775,0.220301957880346,1.115103447122988,0.002840959040725698,0.027126123234087713,0.009683076292276382,0.044811051338911057,0.05927106424381858,0.014736100351958731,-0.0256692985023715,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27028,success,True,5,True,False,0,38,1.8082846522923273,0.1339897724016974,1.6742948798906299,7.6,185.14915166500603,7.6,0.22462255264956751,0.7274257311402266,0.5575517235614941,8.535657000683566,27.64217778332861,21.186965495336775,0.220301957880346,1.115103447122988,0.002840959040725698,0.027126123234087713,0.009683076292276382,0.044811051338911057,0.05927106424381858,0.014736100351958731,-0.0256692985023715,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27029,success,True,5,True,False,0,38,1.8082846522923273,0.1339897724016974,1.6742948798906299,7.6,185.14915166500603,7.6,0.22462255264956751,0.7274257311402266,0.5575517235614941,8.535657000683566,27.64217778332861,21.186965495336775,0.220301957880346,1.115103447122988,0.002840959040725698,0.027126123234087713,0.009683076292276382,0.044811051338911057,0.05927106424381858,0.014736100351958731,-0.0256692985023715,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27030,success,True,5,True,False,0,38,1.8082846522923273,0.1339897724016974,1.6742948798906299,7.6,185.14915166500603,7.6,0.22462255264956751,0.7274257311402266,0.5575517235614941,8.535657000683566,27.64217778332861,21.186965495336775,0.220301957880346,1.115103447122988,0.002840959040725698,0.027126123234087713,0.009683076292276382,0.044811051338911057,0.05927106424381858,0.014736100351958731,-0.0256692985023715,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27031,success,True,5,True,False,0,38,1.8082846522923273,0.1339897724016974,1.6742948798906299,7.6,185.14915166500603,7.6,0.22462255264956751,0.7274257311402266,0.5575517235614941,8.535657000683566,27.64217778332861,21.186965495336775,0.220301957880346,1.115103447122988,0.002840959040725698,0.027126123234087713,0.009683076292276382,0.044811051338911057,0.05927106424381858,0.014736100351958731,-0.0256692985023715,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27032,success,True,5,True,False,0,38,1.8082846522923273,0.1339897724016974,1.6742948798906299,7.6,185.14915166500603,7.6,0.22462255264956751,0.7274257311402266,0.5575517235614941,8.535657000683566,27.64217778332861,21.186965495336775,0.220301957880346,1.115103447122988,0.002840959040725698,0.027126123234087713,0.009683076292276382,0.044811051338911057,0.05927106424381858,0.014736100351958731,-0.0256692985023715,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27033,success,True,5,True,False,0,38,1.8082846522923273,0.1339897724016974,1.6742948798906299,7.6,185.14915166500603,7.6,0.22462255264956751,0.7274257311402266,0.5575517235614941,8.535657000683566,27.64217778332861,21.186965495336775,0.220301957880346,1.115103447122988,0.002840959040725698,0.027126123234087713,0.009683076292276382,0.044811051338911057,0.05927106424381858,0.014736100351958731,-0.0256692985023715,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27034,success,True,5,True,False,0,38,1.8082846522923273,0.1339897724016974,1.6742948798906299,7.6,185.14915166500603,7.6,0.22462255264956751,0.7274257311402266,0.5575517235614941,8.535657000683566,27.64217778332861,21.186965495336775,0.220301957880346,1.115103447122988,0.002840959040725698,0.027126123234087713,0.009683076292276382,0.044811051338911057,0.05927106424381858,0.014736100351958731,-0.0256692985023715,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27035,success,True,5,True,False,0,38,1.8082846522923273,0.1339897724016974,1.6742948798906299,7.6,185.14915166500603,7.6,0.22462255264956751,0.7274257311402266,0.5575517235614941,8.535657000683566,27.64217778332861,21.186965495336775,0.220301957880346,1.115103447122988,0.002840959040725698,0.027126123234087713,0.009683076292276382,0.044811051338911057,0.05927106424381858,0.014736100351958731,-0.0256692985023715,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27036,success,True,5,True,False,0,38,1.8082846522923273,0.1339897724016974,1.6742948798906299,7.6,185.14915166500603,7.6,0.22462255264956751,0.7274257311402266,0.5575517235614941,8.535657000683566,27.64217778332861,21.186965495336775,0.220301957880346,1.115103447122988,0.002840959040725698,0.027126123234087713,0.009683076292276382,0.044811051338911057,0.05927106424381858,0.014736100351958731,-0.0256692985023715,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,0.2118542128487638,0.005894440140783494,0.29845984208985776,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_validation,rough_perlin,1,success,True,5,True,False,0,38,1.8088555838009333,0.13713620849910224,1.671719375301831,7.6,214.6486448818632,7.6,0.22504615537798828,0.1150761789229725,0.6463854726731729,8.551753904363554,4.372894799072955,24.56264796158057,0.21996307569760934,1.292770945346346,0.010845595269659955,0.08876544510153733,0.029655123129487038,0.16380441188812256,0.06984050160175875,0.019246668845880777,-0.033239826976664756,0.21396810032035174,0.007698667538352311,0.29800561038140017,0.060000000000000005,0.21396810032035174,0.007698667538352311,0.29800561038140017,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_validation,rough_perlin,21,success,True,5,True,False,0,40,1.800255618426876,0.13383071824671755,1.6664249001801585,8.0,210.81873216265257,8.0,0.23962110934685024,0.07133509230139516,0.6031095962273552,9.58484437387401,2.8534036920558066,24.124383849094208,0.20830311252251982,1.2062191924547103,0.009601674531014653,0.06691430244212186,0.02124418132007122,0.12471342086791992,0.0715029900893569,0.017925074582308298,-0.03562697891611606,0.21430059801787138,0.007170029832923319,0.297862381265033,0.06,0.21430059801787138,0.007170029832923319,0.297862381265033,0.06,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_validation,rough_perlin,16,success,True,5,True,False,0,38,1.809161203944109,0.11450899970789351,1.6946522042362155,7.6,214.35795986371693,7.6,0.22127430851378033,0.0629044255689134,0.645510113907424,8.408423723523653,2.390368171618709,24.52938432848211,0.22298055318897578,1.291020227814848,0.006389270901825228,0.06076415029177763,0.015500372275710106,0.12962187826633453,0.07436421670411762,0.018002954099517268,-0.03568141664819498,0.21487284334082357,0.0072011816398069054,0.2978591150011083,0.060000000000000005,0.21487284334082357,0.0072011816398069054,0.2978591150011083,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_validation,rough_perlin,14,success,True,5,True,False,0,38,1.8080373010952755,0.12087909668937943,1.6871582044058961,7.6,220.074304488635,7.6,0.22250687427534607,0.09382499389757046,0.6627241155349396,8.45526122246315,3.5653497681076773,25.183516390327704,0.22199450057972317,1.3254482310698792,0.008219366833527057,0.07045600516492369,0.019241271540522575,0.1488451063632965,0.07524997917445082,0.01824940350687891,-0.034811868038224544,0.21504999583489012,0.007299761402751564,0.29791128791770655,0.060000000000000005,0.21504999583489012,0.007299761402751564,0.29791128791770655,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_test,rough_perlin,27,success,True,5,True,False,0,38,1.803073794056723,0.10788814910032465,1.6951856449563982,7.6,227.3093568372602,7.6,0.22118657155322397,0.17582596172202622,0.6845115008443372,8.405089719022511,6.681386545436997,26.011437032084814,0.22305074275742084,1.3690230016886746,0.010599822974803337,0.1062083652667762,0.025733185932040215,0.21615681052207947,0.07136887547216918,0.019387103532943383,-0.032828001035867554,0.21427377509443382,0.0077548414131773545,0.29803031993784795,0.060000000000000005,0.21427377509443382,0.0077548414131773545,0.29803031993784795,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_test,rough_perlin,2,success,True,5,True,False,0,41,1.8266702729970166,0.1445976947350141,1.6820725782620025,8.200000000000001,232.48556573440754,8.200000000000001,0.24358649721615822,0.13759687169080997,0.6488722035896558,9.987046385862486,5.641471739323209,26.60376034717589,0.2051308022270735,1.2977444071793114,0.012390055870015198,0.09605093526250372,0.0338258370757103,0.21033760905265808,0.07623223724161707,0.019002724877592723,-0.03414225891777655,0.21524644744832339,0.0076010899510370895,0.2979514644649334,0.06,0.21524644744832339,0.0076010899510370895,0.2979514644649334,0.06,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_test,rough_perlin,3,success,True,5,True,False,0,37,1.8074238039438935,0.13584865888490175,1.6715751450589917,7.4,208.29446688790205,7.4,0.2176393336049001,0.09673073759994155,0.6442034440060385,8.052655343381304,3.5790372911978374,23.835527428223422,0.22588853311607995,1.288406888012077,0.006538655598790893,0.08076197464815628,0.014453724026679993,0.11415226012468338,0.07284855661359993,0.019653472212470463,-0.03337175429270074,0.21456971132272,0.007861388884988186,0.29799769474243787,0.060000000000000005,0.21456971132272,0.007861388884988186,0.29799769474243787,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_test,rough_perlin,19,success,True,5,True,False,0,37,1.7965344035659587,0.14350926717763868,1.6530251363883202,7.4,226.33075899373716,7.4,0.22077278101548653,0.15735802965924367,0.6999852497605373,8.168592897573001,5.822247097392015,25.899454241139882,0.2233817751876108,1.399970499521075,0.00882020090526007,0.0968481450767363,0.016048124060034752,0.16596072912216187,0.07055002692583445,0.01952062251291716,-0.033216752338449694,0.21411000538516692,0.007808249005166865,0.29800699485969295,0.060000000000000005,0.21411000538516692,0.007808249005166865,0.29800699485969295,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_test,rough_perlin,26,success,True,5,True,False,0,38,1.8005473980706206,0.12215549008136425,1.6783919079892564,7.6,202.25724882953668,7.6,0.22394869934387235,0.06833301506031488,0.6090704530569446,8.51005057506715,2.5966545722919654,23.144677216163895,0.2208410405249022,1.2181409061138893,0.005930810568986906,0.06288282666589406,0.019667573273181915,0.13832351565361023,0.07237142951864946,0.018255618633702397,-0.03419499332085252,0.21447428590372994,0.007302247453480957,0.29794830040074877,0.060000000000000005,0.21447428590372994,0.007302247453480957,0.29794830040074877,0.060000000000000005,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27027,success,True,5,True,False,0,38,1.806892693656803,0.11215159631708914,1.694741097339714,7.6,170.62558086005194,7.6,0.22125968793754708,0.011660638384210087,0.5138159469632799,8.407868141626789,0.44310425859998326,19.525005984604636,0.22299224964996228,1.0276318939265603,0.0031931780250600487,0.02827025920735682,0.0059286439791321754,0.0445038266479969,0.07108750890352224,0.013192043169462857,-0.039911555665496146,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27028,success,True,5,True,False,0,38,1.806892693656803,0.11215159631708914,1.694741097339714,7.6,170.62558086005194,7.6,0.22125968793754708,0.011660638384210087,0.5138159469632799,8.407868141626789,0.44310425859998326,19.525005984604636,0.22299224964996228,1.0276318939265603,0.0031931780250600487,0.02827025920735682,0.0059286439791321754,0.0445038266479969,0.07108750890352224,0.013192043169462857,-0.039911555665496146,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27029,success,True,5,True,False,0,38,1.806892693656803,0.11215159631708914,1.694741097339714,7.6,170.62558086005194,7.6,0.22125968793754708,0.011660638384210087,0.5138159469632799,8.407868141626789,0.44310425859998326,19.525005984604636,0.22299224964996228,1.0276318939265603,0.0031931780250600487,0.02827025920735682,0.0059286439791321754,0.0445038266479969,0.07108750890352224,0.013192043169462857,-0.039911555665496146,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27030,success,True,5,True,False,0,38,1.806892693656803,0.11215159631708914,1.694741097339714,7.6,170.62558086005194,7.6,0.22125968793754708,0.011660638384210087,0.5138159469632799,8.407868141626789,0.44310425859998326,19.525005984604636,0.22299224964996228,1.0276318939265603,0.0031931780250600487,0.02827025920735682,0.0059286439791321754,0.0445038266479969,0.07108750890352224,0.013192043169462857,-0.039911555665496146,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27031,success,True,5,True,False,0,38,1.806892693656803,0.11215159631708914,1.694741097339714,7.6,170.62558086005194,7.6,0.22125968793754708,0.011660638384210087,0.5138159469632799,8.407868141626789,0.44310425859998326,19.525005984604636,0.22299224964996228,1.0276318939265603,0.0031931780250600487,0.02827025920735682,0.0059286439791321754,0.0445038266479969,0.07108750890352224,0.013192043169462857,-0.039911555665496146,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27032,success,True,5,True,False,0,38,1.806892693656803,0.11215159631708914,1.694741097339714,7.6,170.62558086005194,7.6,0.22125968793754708,0.011660638384210087,0.5138159469632799,8.407868141626789,0.44310425859998326,19.525005984604636,0.22299224964996228,1.0276318939265603,0.0031931780250600487,0.02827025920735682,0.0059286439791321754,0.0445038266479969,0.07108750890352224,0.013192043169462857,-0.039911555665496146,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27033,success,True,5,True,False,0,38,1.806892693656803,0.11215159631708914,1.694741097339714,7.6,170.62558086005194,7.6,0.22125968793754708,0.011660638384210087,0.5138159469632799,8.407868141626789,0.44310425859998326,19.525005984604636,0.22299224964996228,1.0276318939265603,0.0031931780250600487,0.02827025920735682,0.0059286439791321754,0.0445038266479969,0.07108750890352224,0.013192043169462857,-0.039911555665496146,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27034,success,True,5,True,False,0,38,1.806892693656803,0.11215159631708914,1.694741097339714,7.6,170.62558086005194,7.6,0.22125968793754708,0.011660638384210087,0.5138159469632799,8.407868141626789,0.44310425859998326,19.525005984604636,0.22299224964996228,1.0276318939265603,0.0031931780250600487,0.02827025920735682,0.0059286439791321754,0.0445038266479969,0.07108750890352224,0.013192043169462857,-0.039911555665496146,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27035,success,True,5,True,False,0,38,1.806892693656803,0.11215159631708914,1.694741097339714,7.6,170.62558086005194,7.6,0.22125968793754708,0.011660638384210087,0.5138159469632799,8.407868141626789,0.44310425859998326,19.525005984604636,0.22299224964996228,1.0276318939265603,0.0031931780250600487,0.02827025920735682,0.0059286439791321754,0.0445038266479969,0.07108750890352224,0.013192043169462857,-0.039911555665496146,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27036,success,True,5,True,False,0,38,1.806892693656803,0.11215159631708914,1.694741097339714,7.6,170.62558086005194,7.6,0.22125968793754708,0.011660638384210087,0.5138159469632799,8.407868141626789,0.44310425859998326,19.525005984604636,0.22299224964996228,1.0276318939265603,0.0031931780250600487,0.02827025920735682,0.0059286439791321754,0.0445038266479969,0.07108750890352224,0.013192043169462857,-0.039911555665496146,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,0.21421750178070445,0.005276817267785143,0.2976053066600701,0.060000000000000005,stability,0.15,0.7,0.15
