terrain,objective_name,beta_motion,beta_stability,beta_energy,winner_style,loser_style,winner_score,loser_score,margin,label_confidence,winner_success_rate,loser_success_rate,winner_distance_mean,loser_distance_mean,winner_progress_mean,loser_progress_mean,winner_deploy_mean,loser_deploy_mean,winner_fallen_p90_max,loser_fallen_p90_max,winner_fresh1_min,loser_fresh1_min,winner_episode_ids,loser_episode_ids,label_source
flat_normal,motion_objective,0.7,0.2,0.1,fast,cautious,0.9949199996062089,-0.05334682991329781,1.0482668295195068,1.0,1.0,0.6,2.943838114376827,0.45159930581512153,0.52568537756729,0.4107531023919174,0.6192416271052718,0.1726009541353837,0.0002666679793037474,0.9986851811408997,0.95,0.94,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_095926;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100034;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100142;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100250;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100359,flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100507;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100615;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100723;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100832;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100940,world_style_sweep_3x3_v0_objective_conditioned
flat_normal,motion_objective,0.7,0.2,0.1,high_clearance,cautious,0.23072069341444615,-0.05334682991329781,0.284067523327744,1.0,0.6,0.6,0.3772573975857835,0.45159930581512153,0.41917488620642657,0.4107531023919174,0.37117398792780004,0.1726009541353837,3.5704742913367227e-06,0.9986851811408997,0.95,0.94,flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101048;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101156;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101305;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101413;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101521,flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100507;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100615;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100723;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100832;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100940,world_style_sweep_3x3_v0_objective_conditioned
flat_normal,motion_objective,0.7,0.2,0.1,fast,high_clearance,0.9949199996062089,0.23072069341444615,0.7641993061917628,1.0,1.0,0.6,2.943838114376827,0.3772573975857835,0.52568537756729,0.41917488620642657,0.6192416271052718,0.37117398792780004,0.0002666679793037474,3.5704742913367227e-06,0.95,0.95,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_095926;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100034;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100142;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100250;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100359,flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101048;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101156;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101305;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101413;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101521,world_style_sweep_3x3_v0_objective_conditioned
flat_normal,stability_objective,0.15,0.75,0.1,fast,cautious,0.9874466664041393,0.583399643983995,0.40404702242014423,1.0,1.0,0.6,2.943838114376827,0.45159930581512153,0.52568537756729,0.4107531023919174,0.6192416271052718,0.1726009541353837,0.0002666679793037474,0.9986851811408997,0.95,0.94,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_095926;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100034;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100142;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100250;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100359,flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100507;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100615;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100723;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100832;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100940,world_style_sweep_3x3_v0_objective_conditioned
flat_normal,stability_objective,0.15,0.75,0.1,high_clearance,cautious,0.787238023959116,0.583399643983995,0.203838379975121,0.7901744544323682,0.6,0.6,0.3772573975857835,0.45159930581512153,0.41917488620642657,0.4107531023919174,0.37117398792780004,0.1726009541353837,3.5704742913367227e-06,0.9986851811408997,0.95,0.94,flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101048;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101156;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101305;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101413;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101521,flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100507;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100615;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100723;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100832;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100940,world_style_sweep_3x3_v0_objective_conditioned
flat_normal,stability_objective,0.15,0.75,0.1,fast,high_clearance,0.9874466664041393,0.787238023959116,0.20020864244502323,0.7736756474773784,1.0,0.6,2.943838114376827,0.3772573975857835,0.52568537756729,0.41917488620642657,0.6192416271052718,0.37117398792780004,0.0002666679793037474,3.5704742913367227e-06,0.95,0.95,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_095926;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100034;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100142;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100250;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100359,flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101048;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101156;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101305;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101413;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101521,world_style_sweep_3x3_v0_objective_conditioned
flat_normal,deploy_objective,0.34,0.56,0.1,fast,cautious,0.6192416271052718,0.1726009541353837,0.4466406729698881,1.0,1.0,0.6,2.943838114376827,0.45159930581512153,0.52568537756729,0.4107531023919174,0.6192416271052718,0.1726009541353837,0.0002666679793037474,0.9986851811408997,0.95,0.94,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_095926;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100034;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100142;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100250;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100359,flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100507;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100615;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100723;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100832;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100940,world_style_sweep_3x3_v0_objective_conditioned
flat_normal,deploy_objective,0.34,0.56,0.1,high_clearance,cautious,0.37117398792780004,0.1726009541353837,0.19857303379241634,0.7662410626928016,0.6,0.6,0.3772573975857835,0.45159930581512153,0.41917488620642657,0.4107531023919174,0.37117398792780004,0.1726009541353837,3.5704742913367227e-06,0.9986851811408997,0.95,0.94,flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101048;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101156;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101305;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101413;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101521,flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100507;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100615;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100723;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100832;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100940,world_style_sweep_3x3_v0_objective_conditioned
flat_normal,deploy_objective,0.34,0.56,0.1,fast,high_clearance,0.6192416271052718,0.37117398792780004,0.2480676391774717,0.9912165417157806,1.0,0.6,2.943838114376827,0.3772573975857835,0.52568537756729,0.41917488620642657,0.6192416271052718,0.37117398792780004,0.0002666679793037474,3.5704742913367227e-06,0.95,0.95,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_095926;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100034;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100142;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100250;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100359,flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101048;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101156;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101305;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101413;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101521,world_style_sweep_3x3_v0_objective_conditioned
rough_mid,motion_objective,0.7,0.2,0.1,fast,cautious,0.9885343381018469,0.34257715133080247,0.6459571867710444,1.0,1.0,0.8,1.329349461651685,0.2599741463324713,0.23738383243780062,0.2363401330295195,0.33058307648459034,0.2599395494010636,2.3895190679468215e-06,1.769853952282574e-06,0.95,0.93,rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101629;rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101737;rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101845;rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101953;rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_102101,rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102209;rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102317;rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102425;rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102534;rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102642,world_style_sweep_3x3_v0_objective_conditioned
