terrain,objective_name,beta_motion,beta_stability,beta_energy,winner_style,loser_style,winner_score,loser_score,margin,label_confidence,winner_success_rate,loser_success_rate,winner_distance_mean,loser_distance_mean,winner_progress_mean,loser_progress_mean,winner_deploy_mean,loser_deploy_mean,winner_fallen_p90_max,loser_fallen_p90_max,winner_fresh1_min,loser_fresh1_min,winner_episode_ids,loser_episode_ids,label_source
slippery_downslope_5deg_forward,motion_objective,0.7,0.2,0.1,fast,high_clearance,0.615,0.25444541677643123,0.36055458322356876,1.0,0.6,0.6,1.0110577948046369,0.1836973462817415,0.2967274452580676,0.2041081625352685,0.05563350480892402,0.1573077793980498,1.0,1.3564978189606336e-06,0.95,0.95,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181158;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181306;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181414;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181522;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181631,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182321;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182429;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182537;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182645;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182753,world_style_sweep_3x3_v0_objective_conditioned
slippery_downslope_5deg_forward,stability_objective,0.15,0.75,0.1,high_clearance,cautious,0.7762861405396759,0.5771737826384455,0.19911235790123039,0.7686925359146836,0.6,0.2,0.1836973462817415,0.2029360556729417,0.2041081625352685,0.184487323339038,0.1573077793980498,-0.006713082602110143,1.3564978189606336e-06,1.0893762691921438e-06,0.95,0.9,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182321;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182429;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182537;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182645;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182753,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181739;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181847;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181957;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_182105;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_182213,world_style_sweep_3x3_v0_objective_conditioned
slippery_downslope_5deg_forward,stability_objective,0.15,0.75,0.1,high_clearance,fast,0.7762861405396759,0.6075,0.1687861405396759,0.6308460933621631,0.6,0.6,0.1836973462817415,1.0110577948046369,0.2041081625352685,0.2967274452580676,0.1573077793980498,0.05563350480892402,1.3564978189606336e-06,1.0,0.95,0.95,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182321;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182429;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182537;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182645;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182753,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181158;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181306;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181414;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181522;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181631,world_style_sweep_3x3_v0_objective_conditioned
slippery_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,fast,cautious,0.05563350480892402,-0.006713082602110143,0.06234658741103416,0.147029942777428,0.6,0.2,1.0110577948046369,0.2029360556729417,0.2967274452580676,0.184487323339038,0.05563350480892402,-0.006713082602110143,1.0,1.0893762691921438e-06,0.95,0.9,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181158;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181306;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181414;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181522;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181631,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181739;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181847;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181957;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_182105;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_182213,world_style_sweep_3x3_v0_objective_conditioned
slippery_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,high_clearance,cautious,0.1573077793980498,-0.006713082602110143,0.16402086200015994,0.6091857363643634,0.6,0.2,0.1836973462817415,0.2029360556729417,0.2041081625352685,0.184487323339038,0.1573077793980498,-0.006713082602110143,1.3564978189606336e-06,1.0893762691921438e-06,0.95,0.9,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182321;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182429;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182537;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182645;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182753,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181739;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181847;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181957;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_182105;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_182213,world_style_sweep_3x3_v0_objective_conditioned
slippery_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,high_clearance,fast,0.1573077793980498,0.05563350480892402,0.10167427458912578,0.325792157223299,0.6,0.6,0.1836973462817415,1.0110577948046369,0.2041081625352685,0.2967274452580676,0.1573077793980498,0.05563350480892402,1.3564978189606336e-06,1.0,0.95,0.95,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182321;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182429;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182537;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182645;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_high_clearance_world_tracer_downslope_5deg_r1_20260628_182753,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181158;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181306;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181414;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181522;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_fast_world_tracer_downslope_5deg_r1_20260628_181631,world_style_sweep_3x3_v0_objective_conditioned
sponge_firm_downslope_5deg_forward,motion_objective,0.7,0.2,0.1,fast,cautious,0.5368989257263647,0.31214527694312816,0.2247536487832365,0.8852438581056205,0.6,0.2,4.600634209277654,3.489273762324367,2.3838827081611282,3.5914808829106404,0.4924910423409265,0.07462359940241421,0.9999991655349731,0.9999995231628418,0.95,0.95,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175456;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175604;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175712;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175820;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175929,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180037;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180145;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180253;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180401;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180509,world_style_sweep_3x3_v0_objective_conditioned
sponge_firm_downslope_5deg_forward,motion_objective,0.7,0.2,0.1,high_clearance,cautious,0.5284554937808714,0.31214527694312816,0.21631021683774326,0.8468646219897421,0.4,0.2,4.315099941656685,3.489273762324367,4.973421336348245,3.5914808829106404,0.3258407094184805,0.07462359940241421,0.9999880790710449,0.9999995231628418,0.95,0.95,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180617;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180726;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180834;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180942;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_181050,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180037;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180145;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180253;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180401;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180509,world_style_sweep_3x3_v0_objective_conditioned
sponge_firm_downslope_5deg_forward,stability_objective,0.15,0.75,0.1,fast,cautious,0.5554326171509099,0.39971358061273565,0.1557190365381742,0.57145016608261,0.6,0.2,4.600634209277654,3.489273762324367,2.3838827081611282,3.5914808829106404,0.4924910423409265,0.07462359940241421,0.9999991655349731,0.9999995231628418,0.95,0.95,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175456;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175604;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175712;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175820;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175929,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180037;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180145;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180253;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180401;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180509,world_style_sweep_3x3_v0_objective_conditioned
sponge_firm_downslope_5deg_forward,stability_objective,0.15,0.75,0.1,high_clearance,cautious,0.517502384185791,0.39971358061273565,0.11778880357305532,0.3990400162411606,0.4,0.2,4.315099941656685,3.489273762324367,4.973421336348245,3.5914808829106404,0.3258407094184805,0.07462359940241421,0.9999880790710449,0.9999995231628418,0.95,0.95,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180617;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180726;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180834;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180942;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_181050,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180037;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180145;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180253;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180401;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180509,world_style_sweep_3x3_v0_objective_conditioned
sponge_firm_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,fast,cautious,0.4924910423409265,0.07462359940241421,0.4178674429385123,1.0,0.6,0.2,4.600634209277654,3.489273762324367,2.3838827081611282,3.5914808829106404,0.4924910423409265,0.07462359940241421,0.9999991655349731,0.9999995231628418,0.95,0.95,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175456;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175604;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175712;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175820;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175929,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180037;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180145;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180253;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180401;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180509,world_style_sweep_3x3_v0_objective_conditioned
sponge_firm_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,high_clearance,cautious,0.3258407094184805,0.07462359940241421,0.2512171100160663,1.0,0.4,0.2,4.315099941656685,3.489273762324367,4.973421336348245,3.5914808829106404,0.3258407094184805,0.07462359940241421,0.9999880790710449,0.9999995231628418,0.95,0.95,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180617;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180726;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180834;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180942;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_181050,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180037;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180145;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180253;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180401;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_cautious_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180509,world_style_sweep_3x3_v0_objective_conditioned
sponge_firm_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,fast,high_clearance,0.4924910423409265,0.3258407094184805,0.16665033292244602,0.6211378769202092,0.6,0.4,4.600634209277654,4.315099941656685,2.3838827081611282,4.973421336348245,0.4924910423409265,0.3258407094184805,0.9999991655349731,0.9999880790710449,0.95,0.95,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175456;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175604;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175712;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175820;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_fast_world_tracer_sponge_firm_downslope_5deg_r1_20260628_175929,sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180617;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180726;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180834;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_180942;sponge_firm_downslope_5deg_forward_objective_selector_data_v1_hard3_sponge_firm_downslope_5deg_forward_high_clearance_world_tracer_sponge_firm_downslope_5deg_r1_20260628_181050,world_style_sweep_3x3_v0_objective_conditioned
