context_id,seed,split_group,terrain,beta_index,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,status,success,m4_interventions,feasible,infeasible_reason,raw_log_relpath,source_stage,policy_steps,settling_steps,decision_time_s,progress_m,energy_abs_j,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,established_slip_fraction_ge_0p002,established_slip_fraction_ge_0p05,established_slip_fraction_ge_0p10,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m
rough_seed_1,1,val,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0000.jsonl,T6.12e_heldout,38,5,7.6,1.662286596972296,213.36665111641878,0.010798711798348975,0.08895108957012068,0.02729132570800837,0.16321708197472495,0.07636233269599878,0.00752868068833826,0.001195028680688777,4.572015447783017,0.33976813436387143,0.07636233269599878,0.33976813436387143,attitude,128.3573190718416
rough_seed_21,21,val,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0001.jsonl,T6.12e_heldout,40,5,8.0,1.657162915832104,209.15231546225482,0.009560409922543412,0.06696938027546386,0.02229444361045374,0.1228865664862826,0.06969563299515869,0.009153065725629864,0.0008822232024703809,4.82752777265897,0.2558041897593828,0.06969563299515869,0.2558041897593828,attitude,126.21107645124565
rough_seed_16,16,val,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0002.jsonl,T6.12e_heldout,38,5,7.6,1.6893237703887087,214.2603123871924,0.006199496640750229,0.06097449692527864,0.01569442446016659,0.1295938683622393,0.07875865479724586,0.001978239366963839,0.0003709198813057327,4.498841567979157,0.23290542211679208,0.07875865479724586,0.23290542211679208,attitude,126.83199996522379
rough_seed_14,14,val,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0003.jsonl,T6.12e_heldout,38,5,7.6,1.6800344676366885,219.6665900039992,0.008560658964622879,0.07031411172949743,0.02127137559514893,0.1498621133267859,0.07144587067087885,0.00544926132235509,0.0007265681763139833,4.523716713199909,0.26858012282076804,0.07144587067087885,0.26858012282076804,attitude,130.75124007009518
rough_seed_27,27,test,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0004.jsonl,T6.12e_heldout,38,5,7.6,1.685782662849378,221.8385798885984,0.010265159654989637,0.1044110642902121,0.024550529620672463,0.2119242138728077,0.08423945513205121,0.010634484406741283,0.003465169076354021,4.5082917077544105,0.3988208878865504,0.08423945513205121,0.3988208878865504,attitude,131.59381975944507
rough_seed_2,2,test,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0005.jsonl,T6.12e_heldout,42,5,8.4,1.7251203971359717,243.95248554659366,0.012325253058900329,0.09782113618553115,0.03373273917627604,0.2065494639505767,0.08474204171241975,0.00867178924259337,0.0031833150384206117,4.8692253676587445,0.3736492167070261,0.08474204171241975,0.3736492167070261,attitude,141.41186084843773
rough_seed_3,3,test,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0006.jsonl,T6.12e_heldout,37,5,7.4,1.6651243689911441,207.5746677045671,0.00624571907576888,0.08081934425614716,0.014631814813724222,0.11310126395765363,0.06450414757955987,0.004333292063885823,0.0012380834468245208,4.444112486614721,0.3087071552594736,0.06450414757955987,0.3087071552594736,attitude,124.66015846631998
rough_seed_19,19,test,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0007.jsonl,T6.12e_heldout,37,5,7.4,1.6483900423996034,225.5590006895232,0.008761123043374836,0.09681637984767127,0.017049147438836357,0.16576542499620017,0.07952286282307827,0.006336978131214033,0.00037276341948316703,4.489228768470132,0.3698113302004667,0.07952286282307827,0.3698113302004667,attitude,136.83593984902458
rough_seed_26,26,test,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0008.jsonl,T6.12e_heldout,38,5,7.6,1.6721714727916308,201.42391820623914,0.005887839469756926,0.06266160053505199,0.018692038030589317,0.13828089899807905,0.06509924385634548,0.0020085066162576085,0.00011814744801515345,4.544988431905294,0.2393496832128787,0.06509924385634548,0.2393496832128787,attitude,120.45649712584145
rough_seed_9,9,hard,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,m4,0,1,0,status_not_success+m4_intervention,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0009.jsonl,T6.12e_heldout,7,,1.3519999999999626,0.28622062043869523,55.505715050753075,,,,,,,,,,,,,
