context_id,terrain,seed,context_friction_mu,context_height_std_m,context_height_relief_p95_p05_m,context_slope_rms,context_slope_q95,preference_name,preference_kind,w_motion,w_stability,w_energy,selected_beta_name,selected_beta_motion,selected_beta_stability,selected_beta_energy,selected_lambda_motion,selected_lambda_stability,selected_lambda_energy,selected_J_motion_s_per_m,selected_J_stability,selected_J_energy_j_per_m,regret_motion,regret_stability,regret_energy,tchebycheff_max_term,tchebycheff_aug_term,scalarization_score,pareto_count
flat,flat,27100,0.8,0.0,0.0,0.0,0.0,wm020_ws080_we000,grid,0.2,0.8,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,flat,27100,0.8,0.0,0.0,0.0,0.0,wm020_ws060_we020,grid,0.2,0.6,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,flat,27100,0.8,0.0,0.0,0.0,0.0,wm020_ws040_we040,grid,0.2,0.4,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,flat,27100,0.8,0.0,0.0,0.0,0.0,wm020_ws020_we060,grid,0.2,0.2,0.6,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,flat,27100,0.8,0.0,0.0,0.0,0.0,wm020_ws000_we080,grid,0.2,0.0,0.8,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,flat,27100,0.8,0.0,0.0,0.0,0.0,wm000_ws100_we000,grid,0.0,1.0,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,flat,27100,0.8,0.0,0.0,0.0,0.0,wm000_ws080_we020,grid,0.0,0.8,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,flat,27100,0.8,0.0,0.0,0.0,0.0,wm000_ws060_we040,grid,0.0,0.6,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,flat,27100,0.8,0.0,0.0,0.0,0.0,wm000_ws040_we060,grid,0.0,0.4,0.6,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,flat,27100,0.8,0.0,0.0,0.0,0.0,wm000_ws020_we080,grid,0.0,0.2,0.8,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
