beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,group,terrain,seed,episode_index,raw_path,policy_steps,settling_steps,decision_time_s,progress_m,energy_abs_j,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,established_slip_fraction_ge_0p002,established_slip_fraction_ge_0p05,established_slip_fraction_ge_0p10,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m,J_motion_normalized,J_stability_normalized,J_energy_normalized,pareto_context_group,pareto_context_seed,is_pareto,dominated_by_count
lm000_ls060_le040,0.15,0.48,0.37,0.0,0.6,0.4,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm000_ls060_le040/flat/episode_0000.jsonl,38,5,7.6,1.6866532905020208,170.22687621618377,0.0031697718346813783,0.028255763342670274,0.005844181861292539,0.044342932374464405,0.03936471922859575,0.003289846851957687,0.0002268859897902183,4.5059645884530966,0.10792906576369801,0.03936471922859575,0.10792906576369801,attitude,100.92582582014641,0.0,-0.6569849073107477,-0.3100535183824802,flat,27100,0,12
lm000_ls040_le060,0.15,0.37,0.48,0.0,0.4,0.6,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm000_ls040_le060/flat/episode_0000.jsonl,38,5,7.6,1.680928564611603,169.92709727817433,0.0031415879043306225,0.028268487705770697,0.0058215085483048976,0.04426152310210818,0.039487121298090525,0.0032905934415076604,0.00022693747872469923,4.5213105184848015,0.10797766925054109,0.039487121298090525,0.10797766925054109,attitude,101.09120688149996,0.20216498607076905,-0.6567612973809758,-0.30486489972152075,flat,27100,0,15
lm000_ls020_le080,0.15,0.26,0.59,0.0,0.2,0.8,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm000_ls020_le080/flat/episode_0000.jsonl,38,5,7.6,1.6746247600382078,169.44857049494627,0.0031218572728155666,0.02827568593838561,0.005860110671907146,0.044183727549456764,0.039373652558728184,0.0032905934415076604,0.00022693747872469923,4.538330127058792,0.10800516447379362,0.039373652558728184,0.10800516447379362,attitude,101.18599374529741,0.42637876282995407,-0.6566348001821141,-0.30189108345569143,flat,27100,0,19
lm000_ls000_le100,0.15,0.15,0.7,0.0,0.0,1.0,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm000_ls000_le100/flat/episode_0000.jsonl,38,5,7.6,1.66801816484001,169.00139835600916,0.003112905112560862,0.02827722937492661,0.0058966849093821765,0.04411069462710593,0.03937812074444752,0.0032909668633689304,0.00022696323195651097,4.556305297028323,0.10801105996711,0.03937812074444752,0.10801105996711,attitude,101.3186798071945,0.6631809624361098,-0.6566076768020425,-0.29772822846386915,flat,27100,0,20
lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm100_ls000_le000/flat/episode_0001.jsonl,38,5,7.6,1.7013071379891918,171.0662440332289,0.0031941105693340842,0.028181990490340196,0.005907732984521106,0.04440185660242956,0.03934686472389971,0.003515137770723137,0.000226783081982172,4.467153420035954,0.10764727422495432,0.03934686472389971,0.10764727422495432,attitude,100.54988909022944,-0.5112925255250982,-0.6582813448768889,-0.3218480510588512,flat,27101,1,0
lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm080_ls020_le000/flat/episode_0001.jsonl,38,5,7.6,1.7002442916330474,170.994615417883,0.0031936523108788014,0.02820429675951864,0.005911968606419604,0.044421758665729394,0.03945578231293331,0.003514739229025777,0.00022675736961460036,4.469945899774418,0.10773247789699482,0.03945578231293331,0.10773247789699482,attitude,100.57061579877232,-0.47450481528120736,-0.6578893485745907,-0.321197777165059,flat,27101,0,1
lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm080_ls000_le020/flat/episode_0001.jsonl,38,5,7.6,1.6955220654760814,170.82154479518465,0.0032040761827003394,0.02818415880658894,0.005872449849051858,0.0443430996966776,0.03958711433757623,0.0034029038112530835,0.00022686025408357247,4.482395219000594,0.10765555658293449,0.03958711433757623,0.10765555658293449,attitude,100.74864153845152,-0.31049934655101563,-0.6582432402550482,-0.31561244794132187,flat,27101,0,1
lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm060_ls040_le000/flat/episode_0001.jsonl,38,5,7.6,1.6990465492193252,170.87176222379122,0.0032134194753089423,0.028212348240577945,0.005950057404920073,0.04444224523572604,0.039460256264890775,0.003515137770723137,0.000226783081982172,4.473096986949553,0.10776323228923,0.039460256264890775,0.10776323228923,attitude,100.56920588921066,-0.432992864323989,-0.6577478569258516,-0.3212420112690248,flat,27101,0,1
lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm060_ls020_le020/flat/episode_0001.jsonl,38,5,7.6,1.6946464579070544,170.7632932302882,0.0032039049956871365,0.028199125777915952,0.005877928247743379,0.044364645064106645,0.03958711433757623,0.0034029038112530835,0.00022686025408357247,4.4847112296132,0.10771272620220991,0.03958711433757623,0.10771272620220991,attitude,100.76632352047439,-0.2799885692784769,-0.6579802201430851,-0.3150576984365375,flat,27101,0,2
lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm060_ls000_le040/flat/episode_0001.jsonl,38,5,7.6,1.6890744194255338,170.39250985247165,0.0031690452015637562,0.028212704925141437,0.005824878116498369,0.04427897752494725,0.039478162223490834,0.003289846851957687,0.0002268859897902183,4.499505713066695,0.1077645947239037,0.039478162223490834,0.1077645947239037,attitude,100.87921994012753,-0.08508825791770544,-0.6577415887763526,-0.3115157180853802,flat,27101,0,5
lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm040_ls060_le000/flat/episode_0001.jsonl,38,5,7.6,1.697713380161425,170.82533956479557,0.0031937947363089095,0.028236475934890832,0.005920326911790549,0.04446272038977628,0.03945578231293331,0.003514739229025777,0.00022675736961460036,4.476609590764586,0.10785539329279735,0.03945578231293331,0.10785539329279735,attitude,100.62083597912908,-0.38671834724544113,-0.6573238520473138,-0.3196221834252244,flat,27101,0,3
lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm040_ls040_le020/flat/episode_0001.jsonl,38,5,7.6,1.693806062616045,170.55445069049574,0.0031819666780354403,0.02825334141595883,0.005883943922914046,0.04438505889281319,0.039464731231579925,0.0034021320027225205,0.00022680880018153494,4.4869363546036505,0.10791981468510763,0.039464731231579925,0.10791981468510763,attitude,100.69302174245277,-0.2506751055932724,-0.6570274687228659,-0.31735744769568275,flat,27101,0,5
lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm040_ls020_le040/flat/episode_0001.jsonl,38,5,7.6,1.6883711608399388,170.3485305982671,0.0031698711916653493,0.028227202635883086,0.0058321428737415915,0.04430153148995619,0.039478162223490834,0.003289846851957687,0.0002268859897902183,4.501379895768366,0.1078199718997769,0.039478162223490834,0.1078199718997769,attitude,100.89519090904237,-0.06039805543439591,-0.6574868151538766,-0.3110146494220947,flat,27101,0,6
lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm040_ls000_le060/flat/episode_0001.jsonl,38,5,7.6,1.6821341547837196,170.0148457673998,0.0031404219943801733,0.0282421375722712,0.00583657445141973,0.04422270661487682,0.039487121298090525,0.0032905934415076604,0.00022693747872469923,4.518070082809281,0.10787701915459925,0.039487121298090525,0.10787701915459925,attitude,101.07091951251621,0.15947597133843514,-0.65722435800372,-0.3055013899001985,flat,27101,0,9
lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm020_ls080_le000/flat/episode_0001.jsonl,38,5,7.6,1.6962781232349418,170.7289320009615,0.0031935612689669565,0.0282529309870039,0.005924412238111083,0.04448357757332344,0.03945578231293331,0.003514739229025777,0.00022675736961460036,4.480397345163054,0.10791824696198046,0.03945578231293331,0.10791824696198046,attitude,100.64913864205676,-0.33681903755071624,-0.6570346813423946,-0.3187342236805023,flat,27101,0,4
lm020_ls060_le020,0.26,0.48,0.26,0.2,0.6,0.2,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm020_ls060_le020/flat/episode_0001.jsonl,38,5,7.6,1.6927022787537753,170.47985120563322,0.00318159450915394,0.02826944442838906,0.005888943320569667,0.044405314567796506,0.039464731231579925,0.0034021320027225205,0.00022680880018153494,4.489862213451604,0.10798132366175422,0.039464731231579925,0.10798132366175422,attitude,100.71461080039796,-0.21213027891808342,-0.6567444845412433,-0.31668011869555324,flat,27101,0,6
lm020_ls040_le040,0.26,0.36999999999999994,0.37,0.2,0.4,0.4,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm020_ls040_le040/flat/episode_0001.jsonl,38,5,7.6,1.6875652540608257,170.2897225401342,0.0031703153951109534,0.028241289232105803,0.005839029330457249,0.04432422139164882,0.03936471922859575,0.003289846851957687,0.0002268859897902183,4.503529556390161,0.10787377873386135,0.03936471922859575,0.10787377873386135,attitude,100.90852613275976,-0.03207874805034288,-0.6572392661985986,-0.3105962738834337,flat,27101,0,8
lm020_ls020_le060,0.26,0.26,0.48,0.2,0.2,0.6,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm020_ls020_le060/flat/episode_0001.jsonl,38,5,7.6,1.6815795626380772,169.9759310494993,0.003141117043771982,0.028255200781392036,0.0058292778213281885,0.0442413239578876,0.039487121298090525,0.0032905934415076604,0.00022693747872469923,4.519560161683371,0.10792691693790064,0.039487121298090525,0.10792691693790064,attitude,101.08111137057324,0.17910604746952433,-0.6569947934077514,-0.3051816334270465,flat,27101,0,13
lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm020_ls000_le080/flat/episode_0001.jsonl,38,5,7.6,1.6750755495211178,169.48243011995274,0.0031208076766035477,0.02826323571049068,0.0058668766756774515,0.04416418325509208,0.039373652558728184,0.0032905934415076604,0.00022693747872469923,4.5371087902111285,0.10795760810630325,0.039373652558728184,0.10795760810630325,attitude,101.17897677415537,0.4102890539439158,-0.6568535926327269,-0.30211123192440364,flat,27101,0,15
lm000_ls100_le000,0.15,0.7,0.15,0.0,1.0,0.0,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm000_ls100_le000/flat/episode_0001.jsonl,38,5,7.6,1.694741097339714,170.62558086005194,0.003193178019850939,0.028270259195387372,0.005928644080598042,0.044503826349143516,0.03945578231293331,0.003401360544218502,0.00022675736961460036,4.484460789869289,0.1079844358424402,0.03945578231293331,0.1079844358424402,attitude,100.67943777836511,-0.28328782499218835,-0.6567301663400229,-0.31778362714439456,flat,27101,0,5
lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm000_ls080_le020/flat/episode_0001.jsonl,38,5,7.6,1.6914000425548534,170.32405923426828,0.0031797653355389805,0.028254120275960304,0.005893653713647121,0.04442454629693615,0.039460256264890775,0.003401746229732076,0.000226783081982172,4.493319030854598,0.10792278971116868,0.039460256264890775,0.10792278971116868,attitude,100.70004431180836,-0.16659068368459273,-0.6570137815285555,-0.31713712359020146,flat,27101,0,6
lm000_ls060_le040,0.15,0.48,0.37,0.0,0.6,0.4,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm000_ls060_le040/flat/episode_0001.jsonl,38,5,7.6,1.6866532905020208,170.22687621618377,0.0031697718346813783,0.028255763342670274,0.005844181861292539,0.044342932374464405,0.03936471922859575,0.003289846851957687,0.0002268859897902183,4.5059645884530966,0.10792906576369801,0.03936471922859575,0.10792906576369801,attitude,100.92582582014641,0.0,-0.6569849073107477,-0.3100535183824802,flat,27101,0,12
lm000_ls040_le060,0.15,0.37,0.48,0.0,0.4,0.6,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm000_ls040_le060/flat/episode_0001.jsonl,38,5,7.6,1.680928564611603,169.92709727817433,0.0031415879043306225,0.028268487705770697,0.0058215085483048976,0.04426152310210818,0.039487121298090525,0.0032905934415076604,0.00022693747872469923,4.5213105184848015,0.10797766925054109,0.039487121298090525,0.10797766925054109,attitude,101.09120688149996,0.20216498607076905,-0.6567612973809758,-0.30486489972152075,flat,27101,0,15
lm000_ls020_le080,0.15,0.26,0.59,0.0,0.2,0.8,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm000_ls020_le080/flat/episode_0001.jsonl,38,5,7.6,1.6746247600382078,169.44857049494627,0.0031218572728155666,0.02827568593838561,0.005860110671907146,0.044183727549456764,0.039373652558728184,0.0032905934415076604,0.00022693747872469923,4.538330127058792,0.10800516447379362,0.039373652558728184,0.10800516447379362,attitude,101.18599374529741,0.42637876282995407,-0.6566348001821141,-0.30189108345569143,flat,27101,0,19
lm000_ls000_le100,0.15,0.15,0.7,0.0,0.0,1.0,flat,flat,27101,1,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm000_ls000_le100/flat/episode_0001.jsonl,38,5,7.6,1.66801816484001,169.00139835600916,0.003112905112560862,0.02827722937492661,0.0058966849093821765,0.04411069462710593,0.03937812074444752,0.0032909668633689304,0.00022696323195651097,4.556305297028323,0.10801105996711,0.03937812074444752,0.10801105996711,attitude,101.3186798071945,0.6631809624361098,-0.6566076768020425,-0.29772822846386915,flat,27101,0,20
lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,flat,flat,27102,2,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm100_ls000_le000/flat/episode_0002.jsonl,38,5,7.6,1.7013071379891918,171.0662440332289,0.0031941105693340842,0.028181990490340196,0.005907732984521106,0.04440185660242956,0.03934686472389971,0.003515137770723137,0.000226783081982172,4.467153420035954,0.10764727422495432,0.03934686472389971,0.10764727422495432,attitude,100.54988909022944,-0.5112925255250982,-0.6582813448768889,-0.3218480510588512,flat,27102,1,0
lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,flat,flat,27102,2,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm080_ls020_le000/flat/episode_0002.jsonl,38,5,7.6,1.7002442916330474,170.994615417883,0.0031936523108788014,0.02820429675951864,0.005911968606419604,0.044421758665729394,0.03945578231293331,0.003514739229025777,0.00022675736961460036,4.469945899774418,0.10773247789699482,0.03945578231293331,0.10773247789699482,attitude,100.57061579877232,-0.47450481528120736,-0.6578893485745907,-0.321197777165059,flat,27102,0,1
lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,flat,flat,27102,2,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm080_ls000_le020/flat/episode_0002.jsonl,38,5,7.6,1.6955220654760814,170.82154479518465,0.0032040761827003394,0.02818415880658894,0.005872449849051858,0.0443430996966776,0.03958711433757623,0.0034029038112530835,0.00022686025408357247,4.482395219000594,0.10765555658293449,0.03958711433757623,0.10765555658293449,attitude,100.74864153845152,-0.31049934655101563,-0.6582432402550482,-0.31561244794132187,flat,27102,0,1
lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,flat,flat,27102,2,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm060_ls040_le000/flat/episode_0002.jsonl,38,5,7.6,1.6990465492193252,170.87176222379122,0.0032134194753089423,0.028212348240577945,0.005950057404920073,0.04444224523572604,0.039460256264890775,0.003515137770723137,0.000226783081982172,4.473096986949553,0.10776323228923,0.039460256264890775,0.10776323228923,attitude,100.56920588921066,-0.432992864323989,-0.6577478569258516,-0.3212420112690248,flat,27102,0,1
lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,flat,flat,27102,2,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm060_ls020_le020/flat/episode_0002.jsonl,38,5,7.6,1.6946464579070544,170.7632932302882,0.0032039049956871365,0.028199125777915952,0.005877928247743379,0.044364645064106645,0.03958711433757623,0.0034029038112530835,0.00022686025408357247,4.4847112296132,0.10771272620220991,0.03958711433757623,0.10771272620220991,attitude,100.76632352047439,-0.2799885692784769,-0.6579802201430851,-0.3150576984365375,flat,27102,0,2
